year,iso,pop,rgdpmad,xrusd,eq_tr,eq_capgain,eq_div_rtn
1925,NLD,7366,5030.9767852294326,2.4900000000000002,0.14880780875682831,,
1926,NLD,7471,5357.7593360995852,2.4939,0.13335184752941132,,
1927,NLD,7576,5504.1981256599793,2.4933999999999998,0.15111285448074341,,
1928,NLD,7679,5719.5989061075661,2.4861,8.4593981504440308E-2,,
1929,NLD,7782,5688.7907992803903,2.4899,5.0753623247146606E-2,,
1930,NLD,7884,5602.5304414003049,2.4860000000000002,-0.20957300066947937,,
1931,NLD,7999,5185.0493811726465,2.4857,-0.24899999797344208,,
1932,NLD,8123,5035.2388280192044,2.4817,-0.3043571412563324,,
1933,NLD,8237,4956.4623042369785,1.9335,0.17043477296829224,,
1934,NLD,8341,4804.9070854813572,1.4841,0.10269230604171753,,
1935,NLD,8434,4929.4557742470952,1.4767999999999999,5.1999997347593307E-2,,
1936,NLD,8516,5189.6788398309072,1.5508999999999999,0.23799999058246613,,
1937,NLD,8599,5432.6968252122342,1.8167,0.60675758123397827,,
1938,NLD,8685,5249.6010362694306,1.8179000000000001,-4.5923076570034027E-2,,
1939,NLD,8782,5543.9768845365525,1.8749,-2.7499999850988388E-2,,
1940,NLD,8879,4831.3599504448694,1.8823000000000001,1.3007243871688843,,
1941,NLD,8966,4531.2000892259648,1.88,-0.27701365947723389,,
1942,NLD,9042,4106.728599867286,1.8791946308724834,0.107944056391716,,
1943,NLD,9103,3980.5185103811932,1.8791946308724834,0.2109404057264328,,
1944,NLD,9175,2649.1738419618523,1.8791946308724834,6.3428573310375214E-2,,
1945,NLD,9262,2686.2594472036276,2.65,-8.3593219518661499E-2,,
1946,NLD,9424,4456.6282894736842,6.5,-0.1048627495765686,,
1947,NLD,9630,5048.0789200415365,5.85,0.2147907018661499,,
1948,NLD,9800,5490.2040816326526,5.0999999999999996,0.13199999928474426,,
1949,NLD,9956,5880.4740859783051,4.1500000000000004,-2.8246913105249405E-2,,
1950,NLD,10113.530000000001,5996.1277603747931,4.1100000000000003,2.5154361501336098E-2,-2.6845639571547508E-2,4.700000211596489E-2
1951,NLD,10264.31,6031.9684389921549,4.2300000000000004,3.892810270190239E-2,-1.3071895577013493E-2,5.7999998331069946E-2
1952,NLD,10381.99,6083.8059146282967,3.94,-4.7337748110294342E-2,-9.9337749183177948E-2,6.0499999672174454E-2
1953,NLD,10493.18,6542.5327526897463,3.82,0.22624242305755615,0.17424242198467255,5.0999999046325684E-2
1954,NLD,10615.38,6906.8653218255031,3.76,0.72941935062408447,0.67741936445236206,3.8499999791383743E-2
1955,NLD,10750.84,7325.8448035977081,3.83,0.22892306745052338,0.17692308127880096,4.0000002831220627E-2
1956,NLD,10889.35,7498.5185067503098,3.829999999,0.11082352697849274,5.8823529630899429E-2,4.5000001788139343E-2
1957,NLD,11026.38,7613.557410440033,3.7909999989999998,-7.7629625797271729E-2,-0.12962962687015533,5.2000001072883606E-2
1958,NLD,11186.88,7482.0716241130785,3.7749999989999998,0.40306380391120911,0.35106384754180908,3.8000002503395081E-2
1959,NLD,11347.64,7736.675444116614,3.7699999989999999,0.32759055495262146,0.27559053897857666,3.099999763071537E-2
1960,NLD,11486,8286.6097858262237,3.7699999989999999,7.4633747339248657E-2,2.2633746266365051E-2,3.0999999493360519E-2
1961,NLD,11638.71,8201.5081908111333,3.599999999,5.4012075066566467E-2,2.0120725966989994E-3,3.5000000149011612E-2
1962,NLD,11805.69,8639.3094041355835,3.599999999,-5.241766944527626E-2,-0.10441766679286957,3.3500000834465027E-2
1963,NLD,11965.97,8832.2163041412623,3.599999999,0.13271749019622803,8.0717489123344421E-2,3.5500001162290573E-2
1964,NLD,12127.12,9437.1953110054164,3.591999999,0.17242947220802307,0.1369294673204422,4.050000011920929E-2
1965,NLD,12292,9797.8359908883813,3.6109999990000001,-7.0813871920108795E-2,-0.11131386458873749,4.9999997019767761E-2
1966,NLD,12454.8,9936.2494781128553,3.6139999989999998,-0.14301848411560059,-0.19301848113536835,4.050000011920929E-2
1967,NLD,12596.82,10341.259088998797,3.595999999,0.3305763304233551,0.29007634520530701,3.6499999463558197E-2
1968,NLD,12724.68,10894.340761417969,3.6059999989999998,0.34616470336914063,0.30966469645500183,4.3000001460313797E-2
1969,NLD,12873,11462.130039617805,3.623999999,-3.0795181170105934E-2,-7.3795177042484283E-2,4.8499997705221176E-2
1970,NLD,13032.33,11966.773413973782,3.5969999989999999,-4.4182926416397095E-2,-9.2682927846908569E-2,5.3999997675418854E-2
1971,NLD,13193.78,12319.369375378208,3.2580999990000001,-5.3526882082223892E-2,-0.10752688348293304,4.1500002145767212E-2
1972,NLD,13329.87,12597.193341812534,3.2264999990000001,0.30856826901435852,0.26706826686859131,5.4499994963407516E-2
1973,NLD,13438.4,13081.24089735656,2.8244999989999999,-0.1372591108083725,-0.19175910949707031,7.6499998569488525E-2
1974,NLD,13540.58,13497.423744795646,2.5064999989999999,-0.19212745130062103,-0.26862746477127075,5.6499995291233063E-2
1975,NLD,13653.44,13373.627946309201,2.6884999989999998,0.47473058104515076,0.4182305634021759,5.9999998658895493E-2
1976,NLD,13769.91,13884.909802988588,2.4569999990000002,5.4328922182321548E-2,-5.6710774078965187E-3,6.4499996602535248E-2
